IDLicitacion;NombreLicitacion;Tipo;Estado;FechaPublicacion;Descripcion;Moneda;TipoPresupuesto;TipoMonto;MontoLicitacion;Organismo,,,,,,,,,,,,,,,,,,,,,,,,,
3328-124-LE21;JAG \ MATERIALES Y HERRAMIENTAS PARA SS.GG;LE;Adjudicada a uno o varios proveedores;12/10/2021 16:48:15;Se solicita la adquisición de diferentes materiales y herramientas, las cuales serán administradas por Servicios Generales, por el depto. de Infraestructura, los proveedores deben ajustar su oferta a lo estipulado en las Bases Técnicas y Administrativas Adjuntas.;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;FUERZA AEREA DE CHILE COMANDO LOGISTICO,,,,,,,,,,,,,,,,,,,,,,
1028871-34-LE21;MAQUINAS Y EQUIPOS TP;LE;Adjudicada a uno o varios proveedores;04/11/2021 19:28:08;ADQUISICION DE “MAQUINAS Y EQUIPOS TP”. con el fin de proporcionar la adquisición de Máquinas y Equipos para las especialidades del Liceo Politécnico de Vallenar, a través de Proyectos TP;CLP;PUBLICADO;DISPONIBLE;16.000.000;SERVICIO LOCAL DE EDUCACIÓN PÚBLICA DE HUASCO,,,,,,,,,,,,,,,,,,,,,,,,
1057402-232-LQ21;INSUMOS PABELLON A PUNTO 2022-2023;LQ;Adjudicada a uno o varios proveedores;31/08/2021 12:17:54;El propósito de la licitación es contar con contratos de suministro de “Insumos Pabellón a Punto 2022-2023”, para el funcionamiento del equipamiento propiedad del Hospital, adquirido durante el año 2019, mediante el programa de compras del Servicio de Salud Magallanes, denominadas Pabellón a Punto, que permitan el aprovisionamiento oportuno de los productos necesarios en la atención de los usuarios del Hospital para los años 2022 - 2023, en las circunstancias que estos productos no fueran provistos por la Central Nacional de Abastecimiento de los Servicios de Salud, ni se encuentren disponibles en catálogos electrónicos del Convenio Marco o en las Compras Coordinadas yo Conjuntas del Ministerio de Salud, o bien su adquisición sea desventajosa respecto al resultado de la presente licitación, cuyas condiciones más ventajosas serán informadas en la oportunidad correspondiente a la Dirección de Compras, en conformidad con lo dispuesto en el artículo 15 del D.S. Nº 250, de 2004, del Ministerio de Hacienda.  El contrato de suministro anteriormente indicado se hará efectivo cada vez que sea necesario, a través de la emisión de órdenes de compra enviadas al proveedor adjudicado mediante la plataforma www.mercadopublico.cl.  Sin perjuicio de lo anterior, durante todo el periodo de vigencia del contrato, los productos serán solicitados en la oportunidad del mes que el Hospital estime pertinente, comprometiéndose el oferente adjudicado a difundir esta modalidad de compra a todas las instancias que participan en su proceso de ventas.;CLP;NO PUBLICADO;ESTIMADO;Igual o superior a 2.000 UTM e inferior a 5.000 UTM ;HOSPITAL CLINICO DE MAGALLANES DR. LAUTARO NAVARRO AVARIA,,,,,,,,,
5153-4-LR21;SUMINISTRO DE MATERIALES DE FERRETERIA;LR;Adjudicada a uno o varios proveedores;19/01/2021 12:27:53;La Universidad de Chile, para su Hospital Clínico de la Universidad de Chile, en adelante e indistintamente el “Hospital Clínico”, establecimiento docente-asistencial de medicina de alta complejidad, llama a licitación pública para la adquisición, por sistema de suministro, de Materiales de Ferretería, la cual se regulará por las presentes Bases.  El mandante de esta licitación es la Universidad de Chile para su Hospital Clínico de la Universidad de Chile, cuyo domicilio para todos los efectos legales de esta convocatoria es calle Dr. Carlos Lorca Tobar Ex Santos Dumont Nº999, comuna de Independencia, Santiago de Chile, representado por su Directora General, en adelante el Directora.;CLP;NO PUBLICADO;DISPONIBLE;Igual o superior a 5.000 UTM;UNIVERSIDAD DE CHILE,,,,,,,,,,,,,
1079650-5-LP21;Adquisición equipamiento para Hospital de Coronel;LP;Adjudicada a uno o varios proveedores;26/08/2021 13:24:55;Adquisición equipamiento para Hospital de Coronel;CLP;NO PUBLICADO;DISPONIBLE;Igual o superior a 1.000 UTM e inferior a 2.000 UTM;SERVICIO DE SALUD CONCEPCION,,,,,,,,,,,,,,,,,,,,,,,,,
3328-141-LE21;JAG REPUESTOS E INSUMOS DE CLIMA;LE;Adjudicada a uno o varios proveedores;30/11/2021 16:50:00;Este Hospital clínico tiene la necesidad de adquirir diferentes repuestos e insumos de climatización, los proveedores deben cumplir con todo lo estipulado en las bases administrativas y técnicas.;CLP;PUBLICADO;ESTIMADO;11.305.000;FUERZA AEREA DE CHILE COMANDO LOGISTICO,,,,,,,,,,,,,,,,,,,,,,,,
4540-23-L121;Compra de materiales Eléctrico;L1;Adjudicada a uno o varios proveedores;15/12/2021 13:51:40;Materiales para la especialidad de Electricidad del Liceo Polivalente Dr. Rigoberto Iglesias Bastias de la comuna de Lebu, material que será destinado al taller para comenzar el año escolar 2022;CLP;NO PUBLICADO;DISPONIBLE;Menor a 100 UTM;Ilustre Municipalidad de Lebu,,,,,,,,,,,,,,,,,,,,,,,,
1057544-215-LE21;Suministro de Insumos Clínicos Varios HHT;LE;Adjudicada a uno o varios proveedores;11/08/2021 08:27:06;Que, el establecimiento requiere la compra de Insumos Clínicos para distintas Unidades del Hospital Las Higueras  ;CLP;PUBLICADO;ESTIMADO;50.000.000;Hospital Las Higueras,,,,,,,,,,,,,,,,,,,,,,,,
2909-14-LE21;Certificación de instalaciones de gas Sello verde;LE;Adjudicada a uno o varios proveedores;17/08/2021 14:50:00;obtener la certificacion de Sello verde para escuelas municipales y salas cunas;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;I MUNICIPALIDAD DE FUTRONO,,,,,,,,,,,,,,,,,,,,,,,,,
3166-37-CO21;ADQUISICION DE MENAJE;CO;Adjudicada a uno o varios proveedores;27/09/2021 15:53:58;SATISFACER NECESIDADES DE UNIDADES Y REPARTICIONES DEPENDIENTES DE LA TERCERA ZONA NAVAL. ADQUISICIÓN CON RECURSOS FORA, DE ACUERDO A LEY NRO 16.256.;CLP;NO PUBLICADO;DISPONIBLE;Igual o superior a 100 UTM e inferior a 1000 UTM;DIRECCION DE ABASTECIMIENTO DE LA ARMADA,,,,,,,,,,,,,,,,,,,,,,,,
3170-12-LE21;ADQUISICIÓN DE MENAJE;LE;Adjudicada a uno o varios proveedores;02/09/2021 11:07:32;ADQUIRIR MENAJE PARA UNIDADES Y REPARTICIONES DE LA JURIDICCIÓN DE LA CUARTA ZONA NAVAL;CLP;PUBLICADO;DISPONIBLE;38.000.000;DIRECCION DE ABASTECIMIENTO DE LA ARMADA,,,,,,,,,,,,,,,,,,,,,,,,,
2805-26-L121;MATERIALES Y EQUIPOS PARA PROGRAMA MÁS AMA;L1;Adjudicada a uno o varios proveedores;19/11/2021 10:18:56;ADQUIRIR ESTOS MATERIALES Y EQUIPOS PARA LA ATENCIÓN DE PACIENTES DEL PROGRAMA MÁS AMA;CLP;NO PUBLICADO;DISPONIBLE;Menor a 100 UTM;I MUNICIPALIDAD DE LLANQUIHUE,,,,,,,,,,,,,,,,,,,,,,,,,
4079-17-LE21;PREMIOS PARA EMPRENDEDORES-CABRERO;LE;Adjudicada a uno o varios proveedores;12/08/2021 15:20:28;PARA EMPRENDEDORES BENEFICIADOS DE LA COMUNA;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;Ilustre Municipalidad de Cabrero,,,,,,,,,,,,,,,,,,,,,,,,,
1171166-37-LE21;EQUIPAMIENTO TP ADMIN. PÁRVULO Y TURISMO;LE;Adjudicada a uno o varios proveedores;18/11/2021 15:37:46;Adquisición de equipos y  herramientas para implementar  las especialidades de  administración, servicios de turismo  y atención de párvulos, en los  establecimientos Liceo José Antonio Carvajal , Liceo Federico Varela y Liceo Jorge Alessandri Rodríguez de acuerdo a los proyectos adjudicados de equipamiento de educación media técnico profesional 2021.;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;SERVICIO LOCAL DE EDUCACION PÚBLICA DE ATACAMA,,,,,,,,,,,,,,,,,,,,,,
2107-125-LE21;ADQUISICION DE INSUMOS PARA REPOSICIÓN STOCK LOGISTICA;LE;Adjudicada a uno o varios proveedores;09/08/2021 16:06:41;el Hospital Santa Cruz, como establecimiento de salud requiere adquirir insumos y dispositivos médicos para reposición de stock de bodega central .  ;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;SERVICIO DE SALUD HOSPITAL DE SANTA CRUZ,,,,,,,,,,,,,,,,,,,,,,,,
1057501-126-R121;CONVENIO AMPOLLETAS Y CIRCUITOS DESIERTOS (1057501-43-LP21);LE;Adjudicada a uno o varios proveedores;06/05/2021 13:39:00;Por la necesidad de adquirir los accesorios necesarios para el correcto funcionamiento del Complejo Asistencial;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;COMPLEJO ASISTENCIAL DR. SOTERO DEL RIO,,,,,,,,,,,,,,,,,,,,,,,,,
2324-205-L121;MATERIALES STOCK PARA MULTIPLES TRABAJOS;L1;Adjudicada a uno o varios proveedores;19/08/2021 13:23:38;MATERIALES STOCK PARA MULTIPLES TRABAJOS DE REPARACIONES EN DEPENDENCIAS MUNICIPALES, FERIAS Y MERCADOS DE LA COMUNA DIRECCION OPERACIONES - DEPTO. OBRAS MENORES;CLP;PUBLICADO;DISPONIBLE;1.570.000;I MUNICIPALIDAD DE PUERTO MONTT,,,,,,,,,,,,,,,,,,,,,,,,
1979-77-LQ21;Nº 80/21 “CONVENIO DE SUMINISTRO DE DISPOSITIVOS MEDICOS PARA ESPECIALIDADES DE GINECOLOGIA, OFTALMOLOGIA, FONOAUDIOLOGIA Y OTROS PARA NODO COSTERO: HOSPITAL NVA IMPERIAL.”;LQ;Adjudicada a uno o varios proveedores;23/07/2021 17:36:56;Se requiere contrato de suministro por el periodo de 18 meses para las adquisiciones de “CONVENIO DE SUMINISTRO DE DISPOSITIVOS MEDICOS PARA ESPECIALIDADES DE GINECOLOGIA, OFTALMOLOGIA, FONOAUDIOLOGIA Y OTROS PARA NODO COSTERO: HOSPITAL NVA IMPERIAL.” de acuerdo a necesidades del Hospital Nueva Imperial.;CLP;NO PUBLICADO;ESTIMADO;Igual o superior a 2.000 UTM e inferior a 5.000 UTM ;SERVICIO DE SALUD ARAUCANIA SUR HOSPITAL DE NUEVA IMPERIAL,,,,,,,,,,,,,,,,,,,,,
633-48-LQ21;SERVICIOS DE SUMINISTRO, ACTIVACIÓN, TRANSMISIÓN, SOPORTE TÉCNICO Y CAPACITACIÓN DE BALIZAS DE SEGUIMIENTO DE PERSONAS (SPOT GEN-3/SPOT GEN-4) PARA LA CORPORACIÓN NACIONAL FORESTAL;LQ;Adjudicada a uno o varios proveedores;24/08/2021 14:49:00;La Corporación Nacional Forestal, en adelante “CONAF” o la “Corporación”, indistintamente, invita a los oferentes inscritos en el portal de compras del Estado www.mercadopublico.cl, a participar en la licitación pública ID 633-48-LQ21, para la prestación del servicio denominado “SERVICIOS DE SUMINISTRO, ACTIVACIÓN, TRANSMISIÓN, SOPORTE TÉCNICO Y CAPACITACIÓN DE BALIZAS DE SEGUIMIENTO DE PERSONAS (SPOT GEN-3/SPOT GEN-4) PARA LA CORPORACIÓN NACIONAL FORESTAL”, para la temporada 2021-2022, 2022-2023, de acuerdo a las especificaciones incluidas en las Bases de Licitación y sus respectivos Anexos.;USD;PUBLICADO;ESTIMADO;280.000,00;CORP NACIONAL FORESTAL,,,,,,,,,,
1057547-139-LE21;CONVENIO MATERIALES GASFITERIA N 4;LE;Adjudicada a uno o varios proveedores;24/05/2021 17:12:59;Convenio de Materiales de Gasfitería  N° 4 del Hospital  Base Valdivia  ;CLP;PUBLICADO;ESTIMADO;7.000.000;SERVICIO DE SALUD VALDIVIA HOSPITAL BASE,,,,,,,,,,,,,,,,,,,,,,,,,
1078779-24-L121;Equipamiento Mantención Cochrane (revisar Bases de Licitación adjuntas antes de preparar ofertas) (h);L1;Adjudicada a uno o varios proveedores;15/09/2021 14:46:34;ADQUISICIÓN EQUIPAMIENTO DE MANTENIMIENTO, PARA LA HABILITACIÓN DEL PROYECTO REPOSICIÓN HOSPITAL DE COCHRANE, XI REGIÓN (revisar Bases de Licitación adjuntas antes de preparar ofertas);CLP;PUBLICADO;DISPONIBLE;2.952.700;SERVICIO DE SALUD AYSEN CARLOS IBANEZ DEL CAMPO,,,,,,,,,,,,,,,,,,,,,,,
5413-134-LE21;Adquisición de Materiales para Carrera Tec. Universitario en Informática  de  la Universidad de Los Lagos;LE;Adjudicada a uno o varios proveedores;05/11/2021 16:47:41;Adquisición de Materiales para Carrera Tec. Universitario en Informática  de  la Universidad de Los Lagos, SASERVI 69560;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;UNIVERSIDAD DE LOS LAGOS,,,,,,,,,,,,,,,,,,,,,,,,
1464-113-LE21;Reactivos Laboratorio Diciembre 2021;LE;Adjudicada a uno o varios proveedores;22/12/2021 16:44:07;Cotizar insumos y reactivos para los servicios clínicos del Hospital de Parral.;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;SERVICIO DE SALUD DEL MAULE HOSPITAL DE PARRAL,,,,,,,,,,,,,,,,,,,,,,,,,
3496-19-L121;Insumos Dentales ;L1;Adjudicada a uno o varios proveedores;16/11/2021 11:55:13;Adquisición de Insumos dentales para cesfam cobquecura ;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;I MUNICIPALIDAD DE COBQUECURA,,,,,,,,,,,,,,,,,,,,,,,,,
5061-111-L121;Schc N° 390 Adquisición de productos para Laboratorio ;L1;Adjudicada a uno o varios proveedores;16/09/2021 17:37:18;Adquisición de productos para Laboratorio, Stock Bodega ;CLP;PUBLICADO;ESTIMADO;2.500.000;I MUNICIPALIDAD DE TEMUCO,,,,,,,,,,,,,,,,,,,,,,,,
1057498-49-LE21;EQUIPOS Y ACCESORIOS DE AIRE ACONDICIONADO;LE;Adjudicada a uno o varios proveedores;22/11/2021 18:23:21;ADQUISICIÓN DE EQUIPOS Y ACCESORIOS DE AIRE ACONDICIONADO;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;SERVICIO DE SALUD SUR HOSPITAL SANATORIO EL PINO,,,,,,,,,,,,,,,,,,,,,,,,,
2917-108-L121;Insumos dentales Unidad Dental Cesfam;L1;Adjudicada a uno o varios proveedores;09/11/2021 08:08:26;Insumos dentales Unidad Dental Cesfam;CLP;PUBLICADO;ESTIMADO;923.630;I. Municipalidad de Río Negro,,,,,,,,,,,,,,,,,,,,,,,,,
1650-49-LE21;Insumos Médicos, HSJ;LE;Adjudicada a uno o varios proveedores;17/12/2021 12:24:40;Compra de Insumos médicos para farmacia de hospital santa Juana, según solicitud de compra interna n°187, de fecha 14 de diciembre 2021. ;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;Hospital Santa Juana,,,,,,,,,,,,,,,,,,,,,,
539778-15-LE21;MATERIALES PARA REPARAR BOTES DE GOMA Y SKUAS;LE;Adjudicada a uno o varios proveedores;20/08/2021 10:28:54;ADQUIRIR MATERIALES Y REPUESTOS PARA MANTENCIÓN Y REPARACIÓN DE BARCAZAS TIPO SKUA Y BOTES DE GOMA DEL PAÑOL ANTÁRTICO;CLP;PUBLICADO;DISPONIBLE;8.500.000;DIRECCION DE ABASTECIMIENTO DE LA ARMADA,,,,,,,,,,,,,,,,,,,,,,,,,
4733-19-LE21;ADQUISICIÓN DE MATERIALES DE CONSTRUCCIÓN Y OTROS;LE;Adjudicada a uno o varios proveedores;25/10/2021 18:08:33;ADQUISICIÓN DE MATERIALES DE CONSTRUCCIÓN Y OTROS PARA LA INSTALACIÓN DE RESALTOS REDUCTORES VELOCIDAD DIVERSAS CALLES, MELINKA;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;I MUNICIPALIDAD DE LAS GUAITECAS,,,,,,,,,,,,,,,,,,,,,,,,
699866-102-LQ21;ADQUISICION DE PAQUETES E INSUMOS DE CATARATAS PARA HOSPITAL REGIONAL DE TALCA;LQ;Adjudicada a uno o varios proveedores;20/10/2021 09:26:44;El objetivo de la presente licitación, es la adquisición de ADQUISICION DE PAQUETES E INSUMOS DE CATARATAS PARA HOSPITAL REGIONAL DE TALCA para el servicio del Hospital Regional de Talca, con el fin de asegurar el abastecimiento en calidad y oportunidad, para satisfacer la demanda de los usuarios.;CLP;NO PUBLICADO;ESTIMADO;Igual o superior a 2.000 UTM e inferior a 5.000 UTM ;SERVICIO DE SALUD DEL MAULE HOSPITAL DE TALCA,,,,,,,,,,,,,,,,,,,,,,
729-310-LE21;REPUESTOS VARIOS (2-14240 ECU);LE;Adjudicada a uno o varios proveedores;01/09/2021 10:51:09;Se requieren ofertas que cumplan con las especificaciones técnicas solicitadas (Solo una oferta por proveedor), es de suma importancia adjuntar fichas técnicas, formulario PEP firmado,  declaración de vínculos firmado e indicar plazo de entrega en días hábiles bancarios. Se recuerda que la única Orden de Compra válida es la emitida por Metro S.A. La adjudicación será notificada por Gestor de Compras mediante correo electrónico.  “PARA LOS REPUESTOS QUE NO SE FABRIQUEN Y NO SE COMERCIALICEN EN EL MERCADO NACIONAL, SE ACEPTARAN COTIZACIONES  EN OTRAS MONEDAS, EL TIPO DE CAMBIO PARA EFECTOS DE COMPARACION, CORRESPONDERÁ AL DIA DE LA APERTURA ECONOMICA”. En el anexo B, se deben completar  los siguientes formularios: 4,5,7 y 8. ;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;METRO S.A.,,,,,,,,,,,,,,,,
1075963-283-LE21;ADQUISICIÓN DE  KIT CATETER TRANSITORIO,  PULMÓN PRUEBA PEDIATRICO, ASA DE CORTE BIPOLAR, ASA POLIPECTOMIA, MEDIDOR DE ESTOMA, CATETRES, AGUJAS,  SQ, PLACA NEUTRA NEONATAL,  CANULA CPAP, KIT ALTO FLUJO NASAL, SONDAS, SONDON Y OTROS INSUMOS CLINICOS;LE;Adjudicada a uno o varios proveedores;09/09/2021 13:39:18;ADQUISICIÓN DE  KIT CATETER TRANSITORIO,  PULMÓN PRUEBA PEDIATRICO, ASA DE CORTE BIPOLAR, ASA POLIPECTOMIA, MEDIDOR DE ESTOMA, CATETRES, AGUJAS,  SQ, PLACA NEUTRA NEONATAL,  CANULA CPAP, KIT ALTO FLUJO NASAL, SONDAS, SONDON Y OTROS INSUMOS CLINICOS;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;SERVICIO DE SALUD ARICA HOSP DR JUAN NOE CREVANI,
1079967-134-L121;2DO LLAMADO LICITACION PUBLICA PARA COMPRA MATERIALES MANTENIMIENTO Y REPARACION LOCKERS PARA EL PERSONAL Y CAÑERIAS PARA BAÑOS DE LA 5TA. COMISARIA C.O.P. PREFECTURA IQUIQUE;L1;Adjudicada a uno o varios proveedores;14/12/2021 13:08:23;2DO LLAMADO LICITACION PUBLICA PARA COMPRA MATERIALES MANTENIMIENTO Y REPARACION LOCKERS PARA EL PERSONAL Y CAÑERIAS PARA BAÑOS DE LA 5TA. COMISARIA C.O.P. PREFECTURA IQUIQUE;CLP;PUBLICADO;DISPONIBLE;4.119.954;DIRECCION DE LOGISTICA DE CARABINEROS,,,,,,,,,,,,,,,,,,,,,,,,,
1057539-85-LP21;convenio de suministro de gases clinicos;LP;Adjudicada a uno o varios proveedores;16/08/2021 16:28:00;El Hospital Puerto Montt, llama a licitación pública por Convenio suministro de gases medicinales  con cilindros en arriendo asociados, con el objeto de cumplir y satisfacer en forma eficiente y  permanente la demanda asistencial de servicios clínicos del Hospital que lo requieran, necesitando  contar a su vez con una gestión eficiente, a fin de asegurar un abastecimiento oportuno, continuo,  seguro y confiable de este suministro por 24 meses. El suministro a contratar deberá considerar que las cantidades a requerir se determinan de acuerdo  a las necesidades del hospital en consideración a la demanda variable de este y de las bases  administrativas y técnicas, que rigen la presente licitación;CLP;NO PUBLICADO;ESTIMADO;Igual o superior a 1.000 UTM e inferior a 2.000 UTM;HOSPITAL PUERTO MONTT SERVICIO DE SALUD DEL RELONCAVI,,,,,,,,,,,,,,,,,,
1079454-92-LE21;PROYECTO REPARACION O.S.7 LOA SEGUN DE 143998556.;LE;Adjudicada a uno o varios proveedores;03/11/2021 19:49:17;PROYECTO REPARACION O.S.7 LOA SEGUN DE 143998556. ;CLP;PUBLICADO;ESTIMADO;7.000.000;DIRECCION DE LOGISTICA DE CARABINEROS,,,,,,,,,,,,,,,,,,,,,,,,,
4037-127-L121;MATERIALES GASFITERIA BENEFICIARIOS PROYECTO HABITABILIDAD 2019;L1;Adjudicada a uno o varios proveedores;10/09/2021 10:46:41;MATERIALES GASFITERIA BENEFICIARIOS PROYECTO HABITABILIDAD 2019;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;I MUNICIPALIDAD DE FRESIA,,,,,,,,,,,,,,,,,,,,,,,,,
3736-68-LE21;Adquisición materiales para Taller Construcciones;LE;Adjudicada a uno o varios proveedores;13/10/2021 11:27:27;Adquisición materiales para Liceo Bicentenario Politécnico Héroes de la Concepción Área Técnico Profesional, Taller Construcciones Metálicas.;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;I MUNICIPALIDAD DE LAJA,,,,,,,,,,,,,,,,,,,,,,,,
565-39-LE21;MATERIAL ELECTRICO, PARA LA REPARACION DE ALUMBRAD;LE;Adjudicada a uno o varios proveedores;08/10/2021 15:12:11;Realizar la adquisición de material eléctrico, para la reparación de alumbrado público de la comuna en los sectores rurales y urbanos de la comuna.;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;Ilustre Municipalidad de San Fernando,,,,,,,,,,,,,,,,,,,,,,,
4457-92-LE21;INSUMOS DENTALES PROGRAMA DE MEJORAMIENTO DEL ACCE;LE;Adjudicada a uno o varios proveedores;02/12/2021 17:02:19;La Dirección de Salud Municipal de Hualqui, a través del Convenio   Programa de Mejoramiento del Acceso a la Atención Odontológica año 2021, requiere insumos dentales para atención odontológica de morbilidad corresponde a las actividades recuperativas realizadas en extensión horaria al adulto de 20 y más años;CLP;PUBLICADO;DISPONIBLE;5.721.360;I MUNICIPALIDAD DE HUALQUI DEPARTAMENTO DE SALUD,,,,,,,,,,,,,,,,,,,,,,,
1051765-18-L121;CDP San Carlos adquisición de materiales de construcción para mejoramiento de celdas de alto compromiso delictual;L1;Adjudicada a uno o varios proveedores;22/09/2021 17:42:21;El Centro de Detención Preventiva de San Carlos de Gendarmería de Chile, requiere la adquisición de materiales de construcción, para mejoramiento de celdas de alto compromiso delictual, se solicita considerar el flete dentro de la oferta presentada  cabe señalar que el monto señalado es con IVA incluido.;CLP;PUBLICADO;DISPONIBLE;2.278.261;DIRECCION GENERAL DE GENDARMERIA DE CHIL,,,,,,,,,,,,,,,,,,,,,,
1075963-233-LE21;SERVICIOS  Y PRODUCTOS PARA EQUIPOS INDUSTRIALES;LE;Adjudicada a uno o varios proveedores;26/08/2021 15:32:03;El Hospital Regional de Arica y Parinacota Dr. Juan Noé Crevani de la ciudad de Arica, llama a Licitación Pública a través del Portal Mercado Público, para contratar el servicio de “SERVICIOS Y PRODUCTOS PARA EQUIPOS INDUSTRIALES”, del establecimiento de acuerdo a lo especificado en las Bases Administrativas y Técnicas de la licitación. Se requiere diversos servicios para reposición, mantención y edificación.;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;SERVICIO DE SALUD ARICA HOSP DR JUAN NOE CREVANI,,,,,,,,,,,,,,,,,,,,,
2694-28-LE21;2 SILLONES DENTALES E INSUMOS DENTALES;LE;Adjudicada a uno o varios proveedores;23/09/2021 14:56:30;2 SILLONES DENTALES E INSUMOS DENTALES PARA UNIDAD DENTAL, CESFAM CARTAGENA.;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;MUNICIPALIDAD DE CARTAGENA,,,,,,,,,,,,,,,,,,,,,,,,
1079596-31-LE21;ADQUISICIÓN DE MOBILIARIOS Y EQUIPOS PARA UNIDADES;LE;Adjudicada a uno o varios proveedores;20/08/2021 11:18:33;ADQUISICIÓN DE MOBILIARIOS Y EQUIPOS PARA UNIDADES Y DESTACAMENTOS Y SERVICIOS ESPECIALIZADOS DE LA XV ZONA DE ARICA Y PARINACOTA;CLP;PUBLICADO;ESTIMADO;7.448.616;DIRECCION DE LOGISTICA DE CARABINEROS,,,,,,,,,,,,,,,,,,,,,,,,,
608-193-LE21;ERN CONVENIO SUMINISTRO INSUMOS CLINICOS CIRCUITO, CATETER, CAL SODADA, ADAPTADOR, CONECTOR, CASSETTES;LE;Adjudicada a uno o varios proveedores;18/08/2021 16:24:35;ERN CONVENIO SUMINISTRO INSUMOS CLINICOS CIRCUITO, CATETER, CAL SODADA, ADAPTADOR, CONECTOR, CASSETTES;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;HOSPITAL DR GUSTAVO FRICKE DE VINA DEL MAR,,,,,,,,,,,,,,,
2026-154-LP21;ADQUISICIÓN MAQUINA DE ANESTESIA HOSP. DE LIMACHE;LP;Adjudicada a uno o varios proveedores;21/07/2021 16:30:00;El Servicio de Salud de Viña del Mar - Quillota, en adelante e indistintamente el “Servicio”, llama a licitación pública para la “ADQUISICIÓN DE MAQUINA DE ANESTESIA PARA HOSPITAL SANTO TÓMAS DE LIMACHE”, en adelante el “equipo”, la cual se regulará por las presentes Bases.;CLP;NO PUBLICADO;DISPONIBLE;Igual o superior a 1.000 UTM e inferior a 2.000 UTM;SERVICIO SALUD VINA DEL MAR QUILLOTA,,,,,,,,,,,,,,,,,,,,,
3000-66-L121;PISCINA MUNICIPAL-ADMINISTRACIÓN CAMPING MUNICIPAL;L1;Adjudicada a uno o varios proveedores;06/10/2021 12:33:40;MATERIAL PARA MANTENCIÓN Y REPARACIÓN DE PISCINA MUNICIPAL. ;CLP;PUBLICADO;DISPONIBLE;2.449.406;I MUNICIPALIDAD DE MONTEPATRIA,,,,,,,,,,,,,,,,,,,,,,,,,
2974-55-LE21;ADQ. DE MATERIALES DE FERRETERÍA PARA EL DEPTO. ASISTENCIAL (128-2021);LE;Adjudicada a uno o varios proveedores;22/10/2021 12:19:13;ADQ. DE MATERIALES DE FERRETERÍA PARA EL DEPTO. ASISTENCIAL (128-2021);CLP;PUBLICADO;DISPONIBLE;13.965.000;FUERZA AEREA DE CHILE COMANDO LOGISTICO,,,,,,,,,,,,,,,,,,,,,,,,,
1464-107-LE21;Reactivos Laboratorio Noviembre 2021 - Readjudicada en Id 1464-107-R121;LE;Adjudicada a uno o varios proveedores;25/11/2021 16:42:01;Cotizar insumos y reactivos de laboratorio para el servicio de laboratorio del Hospital de Parral.;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;SERVICIO DE SALUD DEL MAULE HOSPITAL DE PARRAL,,,,,,,,,,,,,,,,,,,,,,,,,
4644-45-LE21;ADQUISICION DE MATERIALES PARA VIVIENDAS;LE;Adjudicada a uno o varios proveedores;14/09/2021 11:59:38;CONAF requiere la adquisición de materiales de faena para la construcción de viviendas de emergencia,  primordiales para el desarrollo del programa: “APROVECHAMIENTO SUSTENTABLE DE DESECHOS FORESTALES Y ESTABILIZACIÓN DE LADERAS EROSIONADAS EN EL PREDIO FORESTALES MAÑIHUALES”. Ejecutado por CONAF y financiado por el Gobierno Regional de Aysén.;CLP;PUBLICADO;DISPONIBLE;20.100.000;CORP NACIONAL FORESTAL,,,,,,,,,,,,,,,,,,,,,,,,
4305-33-LE21;Adquisición de Materiales para Mant y Rep.;LE;Adjudicada a uno o varios proveedores;06/09/2021 15:30:17;Adquisición de Materiales para Mantenimiento y Reparación en la Base OHiggins por el Equipo de Reparaciones.;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;COMANDO DE APOYO A LA FUERZA,,,,,,,,,,,,,,,,,,,,,,,,,
